Nr.;Kategorie;Slowakisch;Deutsch;Beispielsatz SK;Übersetzung DE
60;01 Grundlagen;mesiac;Monat;Dnes si zapamätám slovo „mesiac“.;Heute merke ich mir das Wort „Monat“.
61;01 Grundlagen;rok;Jahr;Tento rok študujem v Linzi.;Dieses Jahr studiere ich in Linz.
62;01 Grundlagen;a;und;Káva a voda, prosím.;Kaffee und Wasser, bitte.
63;01 Grundlagen;alebo;oder;Kávu alebo čaj?;Kaffee oder Tee?
64;01 Grundlagen;ale;aber;Chcem ísť, ale nemám čas.;Ich möchte gehen, aber ich habe keine Zeit.
65;01 Grundlagen;lebo;weil;Som doma, lebo som unavený.;Ich bin zu Hause, weil ich müde bin.
66;01 Grundlagen;že;dass;Myslím, že je to dobré.;Ich denke, dass es gut ist.
67;01 Grundlagen;ak;wenn/falls;Dnes si zapamätám slovo „ak“.;Heute merke ich mir das Wort „wenn/falls“.
68;01 Grundlagen;keď;wenn/als;Zavolám ti, keď prídem.;Ich rufe dich an, wenn ich ankomme.
69;01 Grundlagen;tak;so/dann;Dnes si zapamätám slovo „tak“.;Heute merke ich mir das Wort „so/dann“.
70;01 Grundlagen;takže;also;Som unavený, takže idem spať.;Ich bin müde, also gehe ich schlafen.
71;01 Grundlagen;pre;für;Dnes si zapamätám slovo „pre“.;Heute merke ich mir das Wort „für“.
72;01 Grundlagen;bez;ohne;Kávu bez cukru, prosím.;Kaffee ohne Zucker, bitte.
73;01 Grundlagen;s;mit;Idem s kamarátom.;Ich gehe mit einem Freund.
74;01 Grundlagen;do;in/nach;Idem do mesta.;Ich gehe in die Stadt.
75;01 Grundlagen;z;aus/von;Som z Rakúska.;Ich komme aus Österreich.
76;01 Grundlagen;od;von/seit;Dnes si zapamätám slovo „od“.;Heute merke ich mir das Wort „von/seit“.
77;01 Grundlagen;na;auf/an/für;Idem na kávu.;Ich gehe auf einen Kaffee.
78;01 Grundlagen;v;in;Bývam v Rakúsku.;Ich wohne in Österreich.
79;01 Grundlagen;pri;bei;Dnes si zapamätám slovo „pri“.;Heute merke ich mir das Wort „bei“.
80;01 Grundlagen;pod;unter;Taška je pod stolom.;Die Tasche ist unter dem Tisch.
81;01 Grundlagen;nad;über;Dnes si zapamätám slovo „nad“.;Heute merke ich mir das Wort „über“.
82;01 Grundlagen;pred;vor;Čakám pred domom.;Ich warte vor dem Haus.
83;01 Grundlagen;za;hinter/für;Dnes si zapamätám slovo „za“.;Heute merke ich mir das Wort „hinter/für“.
84;01 Grundlagen;medzi;zwischen;Sedím medzi dvoma kamarátmi.;Ich sitze zwischen zwei Freunden.
85;01 Grundlagen;okolo;um/herum;Dnes si zapamätám slovo „okolo“.;Heute merke ich mir das Wort „um/herum“.
86;01 Grundlagen;cez;durch/über;Dnes si zapamätám slovo „cez“.;Heute merke ich mir das Wort „durch/über“.
87;01 Grundlagen;proti;gegen;Dnes si zapamätám slovo „proti“.;Heute merke ich mir das Wort „gegen“.
88;01 Grundlagen;po;nach;Dnes si zapamätám slovo „po“.;Heute merke ich mir das Wort „nach“.
89;01 Grundlagen;u;bei;Dnes si zapamätám slovo „u“.;Heute merke ich mir das Wort „bei“.
90;01 Grundlagen;blízko;nah;Bývam blízko centra.;Ich wohne nahe dem Zentrum.
91;01 Grundlagen;ďaleko;weit;Je to ďaleko?;Ist es weit?
92;01 Grundlagen;hore;oben;Dnes si zapamätám slovo „hore“.;Heute merke ich mir das Wort „oben“.
93;01 Grundlagen;dole;unten;Dnes si zapamätám slovo „dole“.;Heute merke ich mir das Wort „unten“.
94;01 Grundlagen;vľavo;links;Odboč vľavo.;Bieg links ab.
95;01 Grundlagen;vpravo;rechts;Odboč vpravo.;Bieg rechts ab.
96;01 Grundlagen;rovno;geradeaus;Choď rovno.;Geh geradeaus.
97;01 Grundlagen;spolu;zusammen;Ideme tam spolu.;Wir gehen zusammen dorthin.
98;01 Grundlagen;sám;allein;Dnes si zapamätám slovo „sám“.;Heute merke ich mir das Wort „allein“.
99;01 Grundlagen;možno;vielleicht;Možno prídem zajtra.;Vielleicht komme ich morgen.
100;01 Grundlagen;určite;sicher/bestimmt;Určite prídem.;Ich komme bestimmt.
101;01 Grundlagen;asi;wahrscheinlich/etwa;Dnes si zapamätám slovo „asi“.;Heute merke ich mir das Wort „wahrscheinlich/etwa“.
102;01 Grundlagen;naozaj;wirklich;Je to naozaj dobré.;Es ist wirklich gut.
103;02 Verben I;byť;sein;Chcem byť doma.;Ich möchte zu Hause sein.
104;02 Verben I;mať;haben;Chcem mať viac času.;Ich möchte mehr Zeit haben.
105;02 Verben I;robiť;machen;Čo chceš robiť?;Was möchtest du machen?
106;02 Verben I;ísť;gehen;Chcem ísť domov.;Ich möchte nach Hause gehen.
107;02 Verben I;prísť;kommen;Môžeš prísť zajtra?;Kannst du morgen kommen?
108;02 Verben I;chcieť;wollen;Chcem kávu.;Ich möchte Kaffee.
109;02 Verben I;môcť;können/dürfen;Môžem si sadnúť?;Kann ich mich setzen?
110;02 Verben I;musieť;müssen;Musím ísť.;Ich muss gehen.
111;02 Verben I;vedieť;wissen/können;Neviem, kde je.;Ich weiß nicht, wo es ist.
112;02 Verben I;poznať;kennen;Poznáš Bratislavu?;Kennst du Bratislava?
113;02 Verben I;myslieť;denken;Čo si myslíš?;Was denkst du?
114;02 Verben I;hovoriť;sprechen;Hovorím trochu po slovensky.;Ich spreche ein bisschen Slowakisch.
115;02 Verben I;povedať;sagen;Môžeš mi to povedať?;Kannst du mir das sagen?
116;02 Verben I;rozprávať;erzählen/sprechen;Dnes si precvičujem sloveso „rozprávať“.;Heute übe ich das Verb „erzählen/sprechen“.
117;02 Verben I;počúvať;zuhören;Rád počúvam hudbu.;Ich höre gern Musik.
118;02 Verben I;počuť;hören;Nepočujem ťa dobre.;Ich höre dich nicht gut.
119;02 Verben I;vidieť;sehen;Vidím ho každý deň.;Ich sehe ihn jeden Tag.
120;02 Verben I;pozerať;schauen;Večer pozerám film.;Abends schaue ich einen Film.
121;02 Verben I;čítať;lesen;Rád čítam knihy.;Ich lese gern Bücher.
122;02 Verben I;písať;schreiben;Píšem správu.;Ich schreibe eine Nachricht.
123;02 Verben I;učiť sa;lernen;Učím sa po slovensky.;Ich lerne Slowakisch.
124;02 Verben I;rozumieť;verstehen;Rozumiem trochu.;Ich verstehe ein bisschen.
125;02 Verben I;pamätať si;sich erinnern;Dnes si precvičujem sloveso „pamätať si“.;Heute übe ich das Verb „sich erinnern“.
126;02 Verben I;zabudnúť;vergessen;Nechcem na to zabudnúť.;Ich möchte das nicht vergessen.
127;02 Verben I;pýtať sa;fragen;Chcem sa niečo opýtať.;Ich möchte etwas fragen.
128;02 Verben I;odpovedať;antworten;Neviem odpovedať.;Ich kann nicht antworten.
129;02 Verben I;volať;anrufen/nennen;Zavolám ti večer.;Ich rufe dich am Abend an.
130;02 Verben I;stretnúť;treffen;Dnes si precvičujem sloveso „stretnúť“.;Heute übe ich das Verb „treffen“.
131;02 Verben I;čakať;warten;Čakám na autobus.;Ich warte auf den Bus.
132;02 Verben I;hľadať;suchen;Hľadám stanicu.;Ich suche den Bahnhof.
133;02 Verben I;nájsť;finden;Nemôžem nájsť kľúče.;Ich kann die Schlüssel nicht finden.
134;02 Verben I;stratiť;verlieren;Dnes si precvičujem sloveso „stratiť“.;Heute übe ich das Verb „verlieren“.
135;02 Verben I;dať;geben;Dáš si kávu?;Möchtest du einen Kaffee?
136;02 Verben I;dostať;bekommen;Môžem dostať vodu?;Kann ich Wasser bekommen?
137;02 Verben I;brať;nehmen;Dnes si precvičujem sloveso „brať“.;Heute übe ich das Verb „nehmen“.
138;02 Verben I;priniesť;bringen;Dnes si precvičujem sloveso „priniesť“.;Heute übe ich das Verb „bringen“.
139;02 Verben I;niesť;tragen;Dnes si precvičujem sloveso „niesť“.;Heute übe ich das Verb „tragen“.
140;02 Verben I;kúpiť;kaufen;Chcem kúpiť lístok.;Ich möchte ein Ticket kaufen.
141;02 Verben I;predať;verkaufen;Dnes si precvičujem sloveso „predať“.;Heute übe ich das Verb „verkaufen“.
142;02 Verben I;platiť;bezahlen;Môžem platiť kartou?;Kann ich mit Karte bezahlen?
143;02 Verben I;stáť;kosten/stehen;Dnes si precvičujem sloveso „stáť“.;Heute übe ich das Verb „kosten/stehen“.
144;02 Verben I;potrebovať;brauchen;Potrebujem pomoc.;Ich brauche Hilfe.
145;02 Verben I;používať;benutzen;Dnes si precvičujem sloveso „používať“.;Heute übe ich das Verb „benutzen“.
146;02 Verben I;skúsiť;versuchen;Dnes si precvičujem sloveso „skúsiť“.;Heute übe ich das Verb „versuchen“.
147;02 Verben I;začať;anfangen;Môžeme začať.;Wir können anfangen.
148;02 Verben I;skončiť;beenden;Kedy skončíme?;Wann sind wir fertig?
149;02 Verben I;pokračovať;weitermachen;Dnes si precvičujem sloveso „pokračovať“.;Heute übe ich das Verb „weitermachen“.
150;02 Verben I;zmeniť;ändern;Dnes si precvičujem sloveso „zmeniť“.;Heute übe ich das Verb „ändern“.
151;02 Verben I;vybrať;wählen/auswählen;Dnes si precvičujem sloveso „vybrať“.;Heute übe ich das Verb „wählen/auswählen“.
152;02 Verben I;otvoriť;öffnen;Môžeš otvoriť okno?;Kannst du das Fenster öffnen?
153;02 Verben I;zatvoriť;schließen;Prosím, zatvor dvere.;Bitte schließ die Tür.
154;02 Verben I;zapnúť;einschalten;Dnes si precvičujem sloveso „zapnúť“.;Heute übe ich das Verb „einschalten“.
155;02 Verben I;vypnúť;ausschalten;Dnes si precvičujem sloveso „vypnúť“.;Heute übe ich das Verb „ausschalten“.
156;02 Verben I;sedieť;sitzen;Môžeme sedieť tu.;Wir können hier sitzen.
157;02 Verben I;ležať;liegen;Dnes si precvičujem sloveso „ležať“.;Heute übe ich das Verb „liegen“.
158;02 Verben I;spať;schlafen;Chcem spať.;Ich möchte schlafen.
159;02 Verben I;zobudiť sa;aufwachen;Dnes si precvičujem sloveso „zobudiť sa“.;Heute übe ich das Verb „aufwachen“.
160;02 Verben I;vstať;aufstehen;Dnes si precvičujem sloveso „vstať“.;Heute übe ich das Verb „aufstehen“.
161;02 Verben I;žiť;leben;Dnes si precvičujem sloveso „žiť“.;Heute übe ich das Verb „leben“.
162;02 Verben I;bývať;wohnen;Bývam v Rakúsku.;Ich wohne in Österreich.
163;02 Verben I;pracovať;arbeiten;Dnes pracujem doma.;Heute arbeite ich zu Hause.
164;02 Verben I;oddychovať;sich ausruhen;Dnes si precvičujem sloveso „oddychovať“.;Heute übe ich das Verb „sich ausruhen“.
165;02 Verben I;pomáhať;helfen;Môžeš mi pomôcť?;Kannst du mir helfen?
166;02 Verben I;chýbať;fehlen;Dnes si precvičujem sloveso „chýbať“.;Heute übe ich das Verb „fehlen“.
167;02 Verben I;fungovať;funktionieren;Dnes si precvičujem sloveso „fungovať“.;Heute übe ich das Verb „funktionieren“.
168;02 Verben I;znamenať;bedeuten;Čo to znamená?;Was bedeutet das?
169;02 Verben I;ukázať;zeigen;Môžeš mi to ukázať?;Kannst du mir das zeigen?
170;02 Verben I;vysvetliť;erklären;Môžeš mi to vysvetliť?;Kannst du mir das erklären?
171;02 Verben I;opakovať;wiederholen;Môžeš to zopakovať?;Kannst du das wiederholen?
172;02 Verben I;preložiť;übersetzen;Dnes si precvičujem sloveso „preložiť“.;Heute übe ich das Verb „übersetzen“.
173;02 Verben I;pamätať;sich merken;Dnes si precvičujem sloveso „pamätať“.;Heute übe ich das Verb „sich merken“.
174;02 Verben I;veriť;glauben;Verím ti.;Ich glaube dir.
175;02 Verben I;dúfať;hoffen;Dnes si precvičujem sloveso „dúfať“.;Heute übe ich das Verb „hoffen“.
176;02 Verben I;cítiť;fühlen;Cítim sa dobre.;Ich fühle mich gut.
177;02 Verben I;milovať;lieben;Dnes si precvičujem sloveso „milovať“.;Heute übe ich das Verb „lieben“.
178;02 Verben I;mať rád;mögen;Mám rád hudbu.;Ich mag Musik.
179;02 Verben I;nenávidieť;hassen;Dnes si precvičujem sloveso „nenávidieť“.;Heute übe ich das Verb „hassen“.
180;02 Verben I;báť sa;Angst haben;Dnes si precvičujem sloveso „báť sa“.;Heute übe ich das Verb „Angst haben“.
181;02 Verben I;smiať sa;lachen;Dnes si precvičujem sloveso „smiať sa“.;Heute übe ich das Verb „lachen“.
182;02 Verben I;plakať;weinen;Dnes si precvičujem sloveso „plakať“.;Heute übe ich das Verb „weinen“.
183;02 Verben I;usmievať sa;lächeln;Dnes si precvičujem sloveso „usmievať sa“.;Heute übe ich das Verb „lächeln“.
184;02 Verben I;tešiť sa;sich freuen;Teším sa na víkend.;Ich freue mich auf das Wochenende.
185;02 Verben I;hnevať sa;sich ärgern;Dnes si precvičujem sloveso „hnevať sa“.;Heute übe ich das Verb „sich ärgern“.
186;02 Verben I;súhlasiť;zustimmen;Súhlasím s tebou.;Ich stimme dir zu.
187;02 Verben I;nesúhlasiť;nicht zustimmen;Dnes si precvičujem sloveso „nesúhlasiť“.;Heute übe ich das Verb „nicht zustimmen“.
188;02 Verben I;rozhodnúť sa;sich entscheiden;Dnes si precvičujem sloveso „rozhodnúť sa“.;Heute übe ich das Verb „sich entscheiden“.
189;02 Verben I;plánovať;planen;Dnes si precvičujem sloveso „plánovať“.;Heute übe ich das Verb „planen“.
190;02 Verben I;zaujímať sa;sich interessieren;Dnes si precvičujem sloveso „zaujímať sa“.;Heute übe ich das Verb „sich interessieren“.
191;02 Verben I;zdáť sa;scheinen;Dnes si precvičujem sloveso „zdáť sa“.;Heute übe ich das Verb „scheinen“.
192;02 Verben I;vyzerať;aussehen;Dnes si precvičujem sloveso „vyzerať“.;Heute übe ich das Verb „aussehen“.
193;02 Verben I;stať sa;werden/geschehen;Dnes si precvičujem sloveso „stať sa“.;Heute übe ich das Verb „werden/geschehen“.
194;02 Verben I;zostať;bleiben;Chcem zostať doma.;Ich möchte zu Hause bleiben.
195;02 Verben I;vrátiť sa;zurückkehren;Večer sa vrátim.;Am Abend komme ich zurück.
196;02 Verben I;odísť;weggehen;Musím odísť.;Ich muss gehen.
197;02 Verben I;prichádzať;ankommen/kommen;Dnes si precvičujem sloveso „prichádzať“.;Heute übe ich das Verb „ankommen/kommen“.
198;02 Verben I;odchádzať;weggehen/abfahren;Dnes si precvičujem sloveso „odchádzať“.;Heute übe ich das Verb „weggehen/abfahren“.
199;03 Verben II;jesť;essen;Chcem niečo jesť.;Ich möchte etwas essen.
200;03 Verben II;piť;trinken;Chcem niečo piť.;Ich möchte etwas trinken.
201;03 Verben II;variť;kochen;Dnes večer varím.;Heute Abend koche ich.
202;03 Verben II;piecť;backen;Dnes si precvičujem sloveso „piecť“.;Heute übe ich das Verb „backen“.
203;03 Verben II;objednať;bestellen;Chcem si objednať jedlo.;Ich möchte Essen bestellen.
204;03 Verben II;ochutnať;probieren/kosten;Dnes si precvičujem sloveso „ochutnať“.;Heute übe ich das Verb „probieren/kosten“.
205;03 Verben II;krájať;schneiden;Dnes si precvičujem sloveso „krájať“.;Heute übe ich das Verb „schneiden“.
206;03 Verben II;umývať;waschen;Dnes si precvičujem sloveso „umývať“.;Heute übe ich das Verb „waschen“.
207;03 Verben II;čistiť;reinigen;Dnes si precvičujem sloveso „čistiť“.;Heute übe ich das Verb „reinigen“.
208;03 Verben II;upratovať;aufräumen;Dnes si precvičujem sloveso „upratovať“.;Heute übe ich das Verb „aufräumen“.
209;03 Verben II;obliecť sa;sich anziehen;Dnes si precvičujem sloveso „obliecť sa“.;Heute übe ich das Verb „sich anziehen“.
210;03 Verben II;vyzliecť sa;sich ausziehen;Dnes si precvičujem sloveso „vyzliecť sa“.;Heute übe ich das Verb „sich ausziehen“.
211;03 Verben II;obuť sa;Schuhe anziehen;Dnes si precvičujem sloveso „obuť sa“.;Heute übe ich das Verb „Schuhe anziehen“.
212;03 Verben II;sprchovať sa;duschen;Dnes si precvičujem sloveso „sprchovať sa“.;Heute übe ich das Verb „duschen“.
213;03 Verben II;cestovať;reisen;Rád cestujem.;Ich reise gern.
214;03 Verben II;jazdiť;fahren;Do práce jazdím bicyklom.;Ich fahre mit dem Fahrrad zur Arbeit.
215;03 Verben II;šoférovať;Auto fahren;Dnes si precvičujem sloveso „šoférovať“.;Heute übe ich das Verb „Auto fahren“.
216;03 Verben II;letieť;fliegen;Dnes si precvičujem sloveso „letieť“.;Heute übe ich das Verb „fliegen“.
217;03 Verben II;plávať;schwimmen;V lete rád plávam.;Im Sommer schwimme ich gern.
218;03 Verben II;bežať;laufen;Ráno rád behám.;Morgens laufe ich gern.
219;03 Verben II;kráčať;gehen/laufen;Dnes si precvičujem sloveso „kráčať“.;Heute übe ich das Verb „gehen/laufen“.
220;03 Verben II;prechádzať sa;spazieren;Dnes si precvičujem sloveso „prechádzať sa“.;Heute übe ich das Verb „spazieren“.
221;03 Verben II;zastaviť;anhalten;Dnes si precvičujem sloveso „zastaviť“.;Heute übe ich das Verb „anhalten“.
222;03 Verben II;nastúpiť;einsteigen;Dnes si precvičujem sloveso „nastúpiť“.;Heute übe ich das Verb „einsteigen“.
223;03 Verben II;vystúpiť;aussteigen;Dnes si precvičujem sloveso „vystúpiť“.;Heute übe ich das Verb „aussteigen“.
224;03 Verben II;prejsť;überqueren/durchgehen;Dnes si precvičujem sloveso „prejsť“.;Heute übe ich das Verb „überqueren/durchgehen“.
225;03 Verben II;otočiť sa;sich umdrehen;Dnes si precvičujem sloveso „otočiť sa“.;Heute übe ich das Verb „sich umdrehen“.
226;03 Verben II;vrátiť;zurückgeben;Dnes si precvičujem sloveso „vrátiť“.;Heute übe ich das Verb „zurückgeben“.
227;03 Verben II;navštíviť;besuchen;Dnes si precvičujem sloveso „navštíviť“.;Heute übe ich das Verb „besuchen“.
228;03 Verben II;rezervovať;reservieren;Dnes si precvičujem sloveso „rezervovať“.;Heute übe ich das Verb „reservieren“.
229;03 Verben II;baliť;packen;Dnes si precvičujem sloveso „baliť“.;Heute übe ich das Verb „packen“.
230;03 Verben II;fotiť;fotografieren;Rád fotím ľudí.;Ich fotografiere gern Menschen.
231;03 Verben II;filmovať;filmen;Dnes si precvičujem sloveso „filmovať“.;Heute übe ich das Verb „filmen“.
232;03 Verben II;kresliť;zeichnen;Každý deň trochu kreslím.;Jeden Tag zeichne ich ein bisschen.
233;03 Verben II;maľovať;malen;Dnes si precvičujem sloveso „maľovať“.;Heute übe ich das Verb „malen“.
234;03 Verben II;navrhovať;entwerfen;Dnes si precvičujem sloveso „navrhovať“.;Heute übe ich das Verb „entwerfen“.
235;03 Verben II;tvoriť;erschaffen;Chcem niečo tvoriť.;Ich möchte etwas erschaffen.
236;03 Verben II;hrať;spielen;Rád hrám hudbu.;Ich mache/spiele gern Musik.
237;03 Verben II;spievať;singen;Dnes si precvičujem sloveso „spievať“.;Heute übe ich das Verb „singen“.
238;03 Verben II;tancovať;tanzen;Dnes si precvičujem sloveso „tancovať“.;Heute übe ich das Verb „tanzen“.
239;03 Verben II;cvičiť;trainieren;Dnes idem cvičiť.;Heute gehe ich trainieren.
240;03 Verben II;liezť;klettern;Dnes si precvičujem sloveso „liezť“.;Heute übe ich das Verb „klettern“.
241;03 Verben II;bicyklovať;Rad fahren;Dnes si precvičujem sloveso „bicyklovať“.;Heute übe ich das Verb „Rad fahren“.
242;03 Verben II;lyžovať;Ski fahren;Dnes si precvičujem sloveso „lyžovať“.;Heute übe ich das Verb „Ski fahren“.
243;03 Verben II;pozvať;einladen;Chcem ťa pozvať na kávu.;Ich möchte dich auf einen Kaffee einladen.
244;03 Verben II;oslavovať;feiern;Dnes si precvičujem sloveso „oslavovať“.;Heute übe ich das Verb „feiern“.
245;03 Verben II;darovať;schenken;Dnes si precvičujem sloveso „darovať“.;Heute übe ich das Verb „schenken“.
246;03 Verben II;poslať;senden;Pošlem ti správu.;Ich schicke dir eine Nachricht.
247;03 Verben II;prijať;annehmen/empfangen;Dnes si precvičujem sloveso „prijať“.;Heute übe ich das Verb „annehmen/empfangen“.
248;03 Verben II;zdieľať;teilen;Dnes si precvičujem sloveso „zdieľať“.;Heute übe ich das Verb „teilen“.
249;03 Verben II;stiahnuť;herunterladen;Dnes si precvičujem sloveso „stiahnuť“.;Heute übe ich das Verb „herunterladen“.
250;03 Verben II;nahrať;hochladen/aufnehmen;Dnes si precvičujem sloveso „nahrať“.;Heute übe ich das Verb „hochladen/aufnehmen“.
251;03 Verben II;uložiť;speichern;Nezabudni súbor uložiť.;Vergiss nicht, die Datei zu speichern.
252;03 Verben II;vymazať;löschen;Dnes si precvičujem sloveso „vymazať“.;Heute übe ich das Verb „löschen“.
253;03 Verben II;kliknúť;klicken;Dnes si precvičujem sloveso „kliknúť“.;Heute übe ich das Verb „klicken“.
254;03 Verben II;tlačiť;drücken/drucken;Dnes si precvičujem sloveso „tlačiť“.;Heute übe ich das Verb „drücken/drucken“.
255;03 Verben II;ťahať;ziehen;Dnes si precvičujem sloveso „ťahať“.;Heute übe ich das Verb „ziehen“.
256;03 Verben II;držať;halten;Dnes si precvičujem sloveso „držať“.;Heute übe ich das Verb „halten“.
257;03 Verben II;pustiť;loslassen;Dnes si precvičujem sloveso „pustiť“.;Heute übe ich das Verb „loslassen“.
258;03 Verben II;zlomiť;brechen;Dnes si precvičujem sloveso „zlomiť“.;Heute übe ich das Verb „brechen“.
259;03 Verben II;opraviť;reparieren;Musím to opraviť.;Ich muss das reparieren.
260;03 Verben II;postaviť;bauen/aufstellen;Dnes si precvičujem sloveso „postaviť“.;Heute übe ich das Verb „bauen/aufstellen“.
261;03 Verben II;vytvoriť;erstellen;Dnes si precvičujem sloveso „vytvoriť“.;Heute übe ich das Verb „erstellen“.
262;03 Verben II;merať;messen;Dnes si precvičujem sloveso „merať“.;Heute übe ich das Verb „messen“.
263;03 Verben II;vážiť;wiegen;Dnes si precvičujem sloveso „vážiť“.;Heute übe ich das Verb „wiegen“.
264;03 Verben II;rásť;wachsen;Dnes si precvičujem sloveso „rásť“.;Heute übe ich das Verb „wachsen“.
265;03 Verben II;klesať;sinken;Dnes si precvičujem sloveso „klesať“.;Heute übe ich das Verb „sinken“.
